stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,country,plk_secondary_id
44123,Kuklinów,51.71916320351,17.31916807606,0,,,,
44131,Kobylin,51.72002332328,17.22371516071,0,,,,
44156,Czeluścin,51.72792658162,17.16379708466,0,,,,
4416,Mścice,54.21427020781,16.07319467119,0,,,,
44164,Pępowo,51.73702335593,17.1129392123,0,,,,
44172,Włostowo,51.75290332087,17.02572577183,0,,,,
44180,Zduny,51.64654565691,17.36632703662,0,,,,
44222,Cieszków,51.6313643418,17.35256192923,0,,,,
4424,Będzino,54.21123446404,15.9927743942,0,,,,
44305,Rawicz,51.60877741913,16.83979934136,1,,,,
44305_BUS,Rawicz,51.60896093738,16.84049606055,0,44305,,,
44305_RAIL,Rawicz,51.60877741913,16.83979934136,0,44305,,,
4440,Słowienkowo,54.20714933429,15.94128875997,0,,,,
44420,Żmigród,51.47485191109,16.90180355369,0,,,,
44438,Garbce,51.51402155535,16.88945971221,0,,,,
44453,Korzeńsko,51.54445053198,16.87232823677,0,,,,
44511,Bojanowo,51.70052468981,16.74423054228,1,,,,
44511_BUS,Bojanowo,51.70069254295,16.74522399634,0,44511,,,
44511_RAIL,Bojanowo,51.70052468981,16.74423054228,0,44511,,,
44529,Zaborowice,51.685819,16.686808,1,,,,
44529_BUS_E,Zaborowice,51.68575717722,16.68686985433,0,44529,,,
44529_BUS_W,Zaborowice,51.68588023167,16.68674647272,0,44529,,,
44537,Borszyn Wielki,51.671431,16.63472,1,,,,
44537_BUS_E,Borszyn Wielki,51.67144565869,16.63324445218,0,44537,,,
44537_BUS_W,Borszyn Wielki,51.67141571701,16.63619488209,0,44537,,,
44545,Borszyn Mały,51.673327,16.595522,1,,,,
44545_BUS_E,Borszyn Mały,51.67324545123,16.59552186191,0,44545,,,
44545_BUS_W,Borszyn Mały,51.67340846018,16.59552186191,0,44545,,,
44552_BUS,Góra Śląska,51.66754143025,16.535483298,0,,,,
4457,Miłogoszcz,54.20533957721,15.90930613342,0,,,,
4465,Tymień,54.20533674093,15.8450021528,0,,,,
44701,Jarocin,51.96872297641,17.49468683124,0,,,,
44727,Radlin Wielkopolski,52.03329228618,17.49948854233,0,,,,
44735,Mieszków,52.02335477922,17.4403764918,0,,,,
44750,Żerków,52.06965895898,17.49765781349,0,,,,
44768,Orzechowo,52.12661336231,17.47783927116,0,,,,
44776,Miłosław,52.20856276507,17.47673489815,0,,,,
44784,Książno,52.24620261189,17.49385848347,0,,,,
44792,Chwalibogowo,52.28340659377,17.52515338161,0,,,,
4481,Skibno,54.24943321166,16.30459844798,0,,,,
44826,Witaszyce,51.93609338545,17.56245356249,0,,,,
44834,Kotlin,51.91456671823,17.64923426501,0,,,,
44842,Pleszew,51.89250513527,17.73247445481,0,,,,
44859,Taczanów,51.84056123736,17.75627321281,0,,,,
44867,Bronów,51.7950380985,17.77404774263,0,,,,
44883,Biniew,51.73918451684,17.79240435171,0,,,,
4499,Wiekowo,54.30409600263,16.38789477959,0,,,,
4515,Mielno Koszalińskie,54.25440761874,16.05382440493,0,,,,
45203,Nowe Skalmierzyce,51.70819767368,17.99797696306,0,,,,
45229,Ociąż,51.70200522955,17.93335604715,0,,,,
45245,Kalisz,51.74278329437,18.07118445486,0,,,,
45278,Kalisz Szczypiorno,51.72600891317,18.02737160699,0,,,,
45294,Kalisz Winiary,51.73348569898,18.14153905968,0,,,,
45310,Opatówek,51.74334955902,18.22791781486,0,,,,
45328,Radliczyce,51.72329777994,18.34993935063,0,,,,
45336,Skalmierz,51.69730519018,18.43020210808,0,,,,
45344,Błaszki,51.6736341489,18.47122193039,0,,,,
45351,Sędzice,51.62881147064,18.57030599483,0,,,,
45401,Kępno,51.29195579895,18.00141915717,0,,,,178501
45468,Domanin,51.34434324571,17.99534419251,0,,,,
45476,Ostrzeszów,51.4296015581,17.94054666434,0,,,,
45526,Niedźwiedź Wielkopolski,51.48588650324,17.88376957464,0,,,,
4556,Miastko,53.99753249534,16.96597282834,0,,,,
45617,Wieruszów Miasto,51.29912719792,18.16577552676,0,,,,
4564,Słosinko,53.94179814677,16.97747672,0,,,,
45674,Wieluń Dąbrowa,51.23949550475,18.55060589273,0,,,,
45682,Wieluń,51.22344251522,18.5826561733,0,,,,
45690,Pątnów Wieluński,51.16007763394,18.63360955048,0,,,,
4572,Kawcze,54.07202722811,16.88386684145,0,,,,
45724,Słupia,51.25195314349,18.04128101279,0,,,,
45732,Łęka Opatowska,51.21732793425,18.09123090768,0,,,,
45815_BUS,Syców,51.30351418272,17.71573841035,0,,,,
45823,Stradomia,51.273048,17.62347,1,,,,
45823_BUS_E,Stradomia,51.27344753242,17.6242522788,0,45823,,,
45823_BUS_W,Stradomia,51.27264879682,17.62268855095,0,45823,,,
45906,Ostrów Wielkopolski,51.6496675147,17.80517738591,0,,,,
45963,Ostrów Wielkopolski Gorzyce,51.64749099883,17.73152587652,0,,,,
45971,Czekanów,51.68542567962,17.8603899342,0,,,,
4598,Przytocko,54.12316027991,16.85750198077,0,,,,
45989,Janków Przygodzki,51.60928525939,17.80961213409,0,,,,
46003,Przygodzice,51.57034788914,17.82981337737,0,,,,
46011,Antonin,51.51304463219,17.86069274409,0,,,,
46037,Topola-Osiedle,51.61282557693,17.76190182572,0,,,,
